V1	I(D1)
-2.000000000000000e+00	-1.000000e-04
-1.900000000000000e+00	-1.000000e-04
-1.800000000000000e+00	-1.000000e-04
-1.700000000000000e+00	-1.000000e-04
-1.600000000000000e+00	-1.000000e-04
-1.500000000000000e+00	-1.000000e-04
-1.400000000000000e+00	-1.000000e-04
-1.300000000000000e+00	-1.000000e-04
-1.200000000000000e+00	-1.000000e-04
-1.100000000000000e+00	-1.000000e-04
-1.000000000000000e+00	-1.000000e-04
-8.999999999999999e-01	-1.000000e-04
-7.999999999999998e-01	-1.000000e-04
-7.000000000000000e-01	-9.999998e-05
-5.999999999999999e-01	-9.999975e-05
-5.000000000000000e-01	-9.999667e-05
-3.999999999999999e-01	-9.995610e-05
-2.999999999999998e-01	-9.942994e-05
-2.000000000000000e-01	-9.360795e-05
-9.999999999999987e-02	-6.219680e-05
0.000000000000000e+00	0.000000e+00
1.000000000000001e-01	7.763159e-05
2.000000000000002e-01	1.624050e-04
3.000000000000003e-01	2.510305e-04
4.000000000000004e-01	3.419996e-04
5.000000000000000e-01	4.345033e-04
6.000000000000001e-01	5.281593e-04
7.000000000000002e-01	6.226374e-04
8.000000000000003e-01	7.177487e-04
9.000000000000004e-01	8.133647e-04
1.000000000000000e+00	9.093914e-04
1.100000000000000e+00	1.005758e-03
1.200000000000000e+00	1.102411e-03
1.300000000000000e+00	1.199307e-03
1.400000000000000e+00	1.296414e-03
1.500000000000000e+00	1.393704e-03
1.600000000000000e+00	1.491154e-03
1.700000000000000e+00	1.588747e-03
1.800000000000000e+00	1.686467e-03
1.900000000000000e+00	1.784301e-03
2.000000000000000e+00	1.882237e-03
2.100000000000001e+00	1.980266e-03
2.200000000000000e+00	2.078380e-03
2.300000000000000e+00	2.176571e-03
2.400000000000000e+00	2.274834e-03
2.500000000000000e+00	2.373161e-03
2.600000000000001e+00	2.471549e-03
2.700000000000000e+00	2.569993e-03
2.800000000000001e+00	2.668490e-03
2.900000000000000e+00	2.767034e-03
3.000000000000000e+00	2.865624e-03
3.100000000000001e+00	2.964256e-03
3.200000000000000e+00	3.062927e-03
3.300000000000001e+00	3.161636e-03
3.400000000000000e+00	3.260381e-03
3.500000000000000e+00	3.359158e-03
3.600000000000001e+00	3.457966e-03
3.700000000000000e+00	3.556804e-03
3.800000000000001e+00	3.655671e-03
3.900000000000000e+00	3.754563e-03
4.000000000000000e+00	3.853481e-03
4.100000000000001e+00	3.952424e-03
4.200000000000000e+00	4.051388e-03
4.300000000000001e+00	4.150375e-03
4.400000000000000e+00	4.249383e-03
4.500000000000000e+00	4.348410e-03
4.600000000000001e+00	4.447457e-03
4.700000000000000e+00	4.546522e-03
4.800000000000001e+00	4.645604e-03
4.900000000000000e+00	4.744703e-03
5.000000000000000e+00	4.843818e-03
5.100000000000001e+00	4.942949e-03
5.200000000000000e+00	5.042094e-03
5.300000000000001e+00	5.141254e-03
5.400000000000000e+00	5.240428e-03
5.500000000000000e+00	5.339615e-03
5.600000000000001e+00	5.438814e-03
5.700000000000000e+00	5.538026e-03
5.800000000000001e+00	5.637250e-03
5.900000000000000e+00	5.736486e-03
6.000000000000000e+00	5.835732e-03
6.100000000000000e+00	5.934990e-03
6.200000000000001e+00	6.034257e-03
6.300000000000001e+00	6.133535e-03
6.400000000000000e+00	6.232823e-03
6.500000000000000e+00	6.332119e-03
6.600000000000000e+00	6.431426e-03
6.700000000000001e+00	6.530741e-03
6.800000000000001e+00	6.630065e-03
6.900000000000000e+00	6.729397e-03
7.000000000000000e+00	6.828737e-03
7.100000000000000e+00	6.928086e-03
7.200000000000001e+00	7.027442e-03
7.300000000000001e+00	7.126805e-03
7.400000000000000e+00	7.226176e-03
7.500000000000000e+00	7.325554e-03
7.600000000000001e+00	7.424939e-03
7.700000000000001e+00	7.524330e-03
7.800000000000001e+00	7.623728e-03
7.900000000000000e+00	7.723133e-03
8.000000000000000e+00	7.822543e-03
8.100000000000001e+00	7.921960e-03
8.200000000000001e+00	8.021383e-03
8.300000000000001e+00	8.120812e-03
8.400000000000000e+00	8.220245e-03
8.500000000000000e+00	8.319685e-03
8.600000000000001e+00	8.419130e-03
8.700000000000001e+00	8.518580e-03
8.800000000000001e+00	8.618036e-03
8.900000000000000e+00	8.717496e-03
9.000000000000000e+00	8.816961e-03
9.100000000000001e+00	8.916432e-03
9.200000000000001e+00	9.015907e-03
9.300000000000001e+00	9.115386e-03
9.400000000000000e+00	9.214870e-03
9.500000000000000e+00	9.314358e-03
9.600000000000001e+00	9.413850e-03
9.700000000000001e+00	9.513347e-03
9.800000000000001e+00	9.612849e-03
9.900000000000000e+00	9.712354e-03
1.000000000000000e+01	9.811862e-03
